price,area,bedrooms,address,address_clean,street,street_for_geo,location,latitude,longitude
190.0,268,9.0,"Phố Kim Mã Thượng,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Kim Mã Thượng, Phường Ngọc Hà, Hà Nội",Phố Kim Mã Thượng,"Phố Kim Mã Thượng, Việt Nam","Phố Kim Mã Thượng, Kim Mã Thượng, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0359363,105.81262
225.0,468,10.0,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội","Đường Kim Mã, Phường Ngọc Hà, Hà Nội",Đường Kim Mã,"Đường Kim Mã, Việt Nam","Số nhà 2/2C khu Ngoại Giao Đoàn, phố Kim Mã đường dưới, Phố Kim Mã, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0308599,105.8166626
250.0,380,9.0,"Phố Lạc Chính,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Lạc Chính, Phường Ba Đình, Hà Nội",Phố Lạc Chính,"Phố Lạc Chính, Việt Nam","Phố Lạc Chinh, Ngũ Xá, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam",21.0466514,105.8413703
190.0,288,10.0,"Đường Lê Trực,
                                    Phường Ba Đình,
                                    Hà Nội","Đường Lê Trực, Phường Ba Đình, Hà Nội",Đường Lê Trực,"Đường Lê Trực, Việt Nam","Đường Lê Trực, Phường Hòa Xuân, Thành phố Đà Nẵng, Việt Nam",15.9932234,108.2058619
165.0,239,8.0,"Phố Liễu Giai,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Liễu Giai, Phường Ngọc Hà, Hà Nội",Phố Liễu Giai,"Phố Liễu Giai, Việt Nam","Phố Liễu Giai, Ngọc Khánh, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.033437,105.8137813
150.0,233,14.0,"Phố Linh Lang,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Linh Lang, Phường Ngọc Hà, Hà Nội",Phố Linh Lang,"Phố Linh Lang, Việt Nam","Phố Linh Lang, Kim Mã Thượng, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0382278,105.8104991
190.0,280,10.0,"Phố Ngọc Khánh,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Ngọc Khánh, Phường Giảng Võ, Hà Nội",Phố Ngọc Khánh,"Phố Ngọc Khánh, Việt Nam","Phố Ngọc Khánh, Giảng Võ, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.0267835,105.8178095
118.0,236,10.0,"Đường Ngọc Hà,
                                    Phường Ngọc Hà,
                                    Hà Nội","Đường Ngọc Hà, Phường Ngọc Hà, Hà Nội",Đường Ngọc Hà,"Đường Ngọc Hà, Việt Nam","Đài Truyền hình Việt Nam, 43, Đường Nguyễn Chí Thanh, Ngọc Khánh, Phường Giảng Võ, Thành phố Hà Nội, 10067, Việt Nam",21.0257605,105.8130654
115.0,192,18.0,"Phố Nguyễn Biểu,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Nguyễn Biểu, Phường Ba Đình, Hà Nội",Phố Nguyễn Biểu,"Phố Nguyễn Biểu, Việt Nam","Phố Nguyễn Biểu, Ngũ Xá, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam",21.043082,105.8401641
130.0,210,9.0,"Phố Ngũ Xã,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Ngũ Xã, Phường Ba Đình, Hà Nội",Phố Ngũ Xã,"Phố Ngũ Xã, Việt Nam","Phố Ngũ Xã, Ngũ Xá, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam",21.0460215,105.8410062
195.0,295,25.0,"Phố Nguyễn Công Hoan,
                                    Phường Giảng Võ,
                                    Hà Nội","Phố Nguyễn Công Hoan, Phường Giảng Võ, Hà Nội",Phố Nguyễn Công Hoan,"Phố Nguyễn Công Hoan, Việt Nam","Phố Nguyễn Công Hoan, Giảng Võ, Phường Giảng Võ, Thành phố Hà Nội, 11110, Việt Nam",21.0272991,105.8150091
190.0,300,10.0,"Đường Nguyễn Chí Thanh,
                                    Phường Giảng Võ,
                                    Hà Nội","Đường Nguyễn Chí Thanh, Phường Giảng Võ, Hà Nội",Đường Nguyễn Chí Thanh,"Đường Nguyễn Chí Thanh, Việt Nam","Đường Nguyễn Chí Thanh, Đông Thọ, Phường Hàm Rồng, Tỉnh Thanh Hóa, Việt Nam",19.8279264,105.7779134
210.0,279,13.0,"Phố Nguyễn Khắc Nhu,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Nguyễn Khắc Nhu, Phường Ba Đình, Hà Nội",Phố Nguyễn Khắc Nhu,"Phố Nguyễn Khắc Nhu, Việt Nam","Phố Nguyễn Khắc Nhu, Thạch Khối, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam",21.044622,105.8444895
