,price,area,bedrooms,latitude,longitude
393,7.7,32,3.0,10.7508081,106.6757438
394,9.8,40,4.0,21.0267835,105.8178095
395,10.5,37,5.0,21.034913,105.81013
396,10.5,35,3.0,21.034913,105.81013
397,29.5,71,6.0,21.0350221,105.8237481
398,44.0,90,8.0,21.0340746,105.8271402
399,23.0,82,4.0,21.0350221,105.8237481
400,17.2,93,2.0,21.0718111,105.7900863
401,23.0,71,2.0,21.0718111,105.7900863
402,10.5,39,3.0,21.0718111,105.7900863
403,17.5,60,2.0,21.0718111,105.7900863
404,8.6,38,4.0,21.0718111,105.7900863
405,8.688,35,5.0,21.0718111,105.7900863
406,14.8,42,4.0,10.8040516,106.6263463
407,20.5,70,4.0,16.016326,108.2566913
408,19.5,75,8.0,16.016326,108.2566913
410,8.8,38,5.0,21.0718111,105.7900863
411,11.0,43,4.0,21.0718111,105.7900863
412,8.0,40,6.0,21.0520091,105.7362606
413,4.7,70,2.0,21.0877222,105.7854689
414,58.0,272,5.0,21.0718111,105.7900863
415,47.0,144,7.0,21.0502392,105.7526914
416,25.0,90,24.0,21.0718111,105.7900863
417,12.0,107,7.0,21.0877222,105.7854689
418,8.48,57,2.0,21.0778369,105.7776657
419,9.2,90,1.0,21.0718111,105.7900863
420,9.85,52,9.0,21.0502392,105.7526914
421,16.2,30,3.0,21.0718111,105.7900863
422,12.9,121,3.0,21.0372649,105.7760404
424,11.5,41,5.0,21.0931473,105.7733983
425,13.5,50,6.0,21.0520091,105.7362606
426,17.0,100,24.0,21.0520091,105.7362606
427,9.9,45,10.0,21.0474387,105.7633714
428,21.0,75,23.0,21.0257605,105.8130654
429,16.5,100,25.0,21.0520091,105.7362606
430,16.5,100,24.0,19.8376153,105.7996636
431,13.5,55,12.0,21.0033519,105.9332372
432,9.5,50,11.0,21.0520091,105.7362606
433,9.5,51,11.0,21.0520091,105.7362606
434,6.75,36,7.0,21.0033519,105.9332372
435,7.9,35,3.0,21.0520091,105.7362606
436,8.6,40,4.0,21.0427287,105.7506501
437,6.2,35,3.0,21.0257605,105.8130654
438,6.3,35,3.0,19.8376153,105.7996636
439,12.3,50,6.0,21.0520091,105.7362606
440,7.7,40,4.0,21.0502392,105.7526914
441,8.85,55,4.0,21.0502392,105.7526914
442,7.2,57,2.0,21.0781131,105.7459838
443,21.5,167,5.0,21.0901421,105.764348
444,45.0,230,6.0,17.4703859,106.6084716
445,48.0,120,4.0,10.8040516,106.6263463
446,21.5,207,12.0,10.7282649,106.7126125
447,46.5,160,4.0,21.0583132,105.7733277
448,28.5,145,3.0,21.0525577,105.7854422
449,21.9,65,6.0,21.0622561,105.7841145
450,38.5,125,6.0,21.0718111,105.7900863
451,18.0,45,4.0,21.0622561,105.7841145
452,24.5,76,2.0,21.0622561,105.7841145
453,18.7,74,2.0,21.0622561,105.7841145
454,32.9,79,2.0,21.0525577,105.7854422
455,19.0,80,3.0,21.0622561,105.7841145
456,21.0,90,6.0,21.0718111,105.7900863
457,29.6,182,1.0,21.0827238,105.7335641
458,27.68,46,5.0,21.0622561,105.7841145
459,26.45,50,5.0,21.0622561,105.7841145
460,34.95,125,6.0,21.0718111,105.7900863
461,6.5,33,4.0,21.0901421,105.764348
462,6.6,69,2.0,21.0622561,105.7841145
463,9.5,40,3.0,21.0718111,105.7900863
464,7.0,52,4.0,21.0926799,105.781169
465,18.9,95,18.0,21.0926799,105.781169
466,22.1,75,19.0,21.0718111,105.7900863
467,38.8,124,30.0,21.0718111,105.7900863
468,14.3,114,2.0,21.0474387,105.7633714
469,19.5,58,4.0,21.0474387,105.7633714
470,34.0,99,28.0,21.0718111,105.7900863
471,11.68,47,331.0,21.0669503,105.7791
472,7.48,102,3.0,21.0372649,105.7760404
473,7.48,101,3.0,21.0372649,105.7760404
474,4.5,900,1.0,21.0901421,105.764348
475,26.5,242,5.0,21.0926799,105.781169
476,39.5,85,13.0,21.0474387,105.7633714
477,22.0,59,8.0,21.0474387,105.7633714
478,22.0,66,6.0,21.0718111,105.7900863
479,24.5,61,6.0,21.0474387,105.7633714
480,68.0,125,22.0,21.0372649,105.7760404
481,38.8,124,30.0,21.0718111,105.7900863
482,7.25,40,4.0,21.0839692,105.739964
483,23.5,63,18.0,21.0520091,105.7362606
484,35.5,130,6.0,21.0718111,105.7900863
485,8.0,50,2.0,21.0926799,105.781169
486,10.0,60,6.0,21.0742149,105.7754553
487,9.2,52,6.0,21.0926799,105.781169
488,9.0,50,6.0,21.0926799,105.781169
489,12.0,46,5.0,21.0742149,105.7754553
490,11.0,47,5.0,21.0742149,105.7754553
491,10.0,50,6.0,21.0742149,105.7754553
492,8.0,60,2.0,21.0926799,105.781169
493,14.5,50,13.0,21.0742149,105.7754553
494,9.5,50,6.0,17.4703859,106.6084716
495,6.0,38,3.0,21.0931473,105.7733983
496,7.0,45,6.0,21.0742149,105.7754553
497,10.0,60,5.0,21.0778369,105.7776657
498,97.0,132,3.0,16.069861,108.2367037
499,15.2,129,3.0,21.0631272,105.8007652
500,8.2,93,3.0,21.0622561,105.7841145
501,10.48,140,3.0,21.1386811,105.9686796
502,11.6,117,3.0,21.1386811,105.9686796
